,_District,Rural_/_Urban,Male_/_Female,In_school_with_pre-primary_as_percent_of_pre-primary_population,In_school_with_Primary_education_as_%_of_primary_school_age_population,In_school_with_Secondary_education_as_percent_of_secondary_school_age_population,In_school_with_Tertiary_education_as_%_of_population,University_students_as_%_of_population,Youth_Polytechnic_students_as_percent_of_population,%_of_people_with_over_3_years_Basic_Literacy,Students_in_Madrassa_school_as_percent_of_school_age_children,No_of_people_over_3_years_in_school_with_Pre-Primary_education,No_of_people_over_3_years_in_school_with_Primary_education,No_of_people_over_3_years_in_school_with_Secondary_education,No_of_people_over_3_years_in_school_with_Tertiary_education,No_of_people_over_3_years_in_University,Youth_Polytechnic,No_of_people_over_3_years_with_Basic_Literacy,No_of_people_over_3_years_in__Madrassa_school,Population,pre-primary_school_age_children,Primary_school_age_children,Secondary_School_age_children,School_age_children,Tertiary_age_population,County,Province,Census_Table,MTEF_Sector,MTP_Sector,Longtitude,Latitude,Geolocation,OBJECTID
464,BOMET,Rural,Female,86.09%,129.67%,38.81%,3.19%,0.67%,1.45%,0.04%,0%,8891,47093,5745,538,113,245,22,1,62648,10328,36318,14801,61447,16881,Bomet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.31899335,-0.840969003,"(-0.840969003, 35.31899335)",463
465,KAJIADO NORTH,Rural,Male,103.04%,98.74%,54.06%,8.2%,8.71%,0.46%,0.18%,0.02%,5082,16368,3608,638,678,36,48,6,26464,4932,16577,6674,28183,7782,Kajiado,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.44660994,-1.646437311,"(-1.646437311, 36.44660994)",464
466,KAJIADO NORTH,Rural,Female,99.28%,93.42%,51.13%,7.47%,6.53%,0.17%,0.13%,0%,4690,15203,3155,626,547,14,31,1,24267,4724,16273,6171,27168,8377,Kajiado,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.44660994,-1.646437311,"(-1.646437311, 36.44660994)",465
467,TURKANA CENTRAL,Urban,Male,112.81%,124.05%,53.05%,8.59%,4.05%,0.87%,0.14%,0.05%,1840,6989,1498,227,107,23,15,5,10704,1631,5634,2824,10089,2642,Turkana,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.44299468,3.05371677,"(3.05371677, 35.44299468)",466
468,TURKANA CENTRAL,Urban,Female,110.49%,121.21%,34.1%,6.65%,1.26%,0.31%,0.26%,0.01%,1717,6739,943,196,37,9,25,1,9667,1554,5560,2765,9879,2948,Turkana,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.44299468,3.05371677,"(3.05371677, 35.44299468)",467
469,TURKANA NORTH,Urban,Male,54.05%,110.84%,41.1%,2.08%,1.33%,0.65%,0.75%,0.97%,1228,9390,1742,106,68,33,96,145,12808,2272,8472,4238,14982,5094,Turkana,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.09717514,4.31378822,"(4.31378822, 35.09717514)",468
470,TURKANA NORTH,Urban,Female,53.6%,83.87%,19.37%,1.03%,0.33%,0.16%,1.22%,1.05%,1116,6498,656,44,14,7,105,139,8579,2082,7748,3386,13216,4252,Turkana,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.09717514,4.31378822,"(4.31378822, 35.09717514)",469
471,TURKANA SOUTH,Urban,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkana,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.99979492,2.078370044,"(2.078370044, 35.99979492)",470
472,WEST POKOT,Urban,Male,133.75%,125.67%,45.41%,6.27%,4.12%,0.45%,0.02%,0%,1934,5987,925,140,92,10,2,0,9090,1446,4764,2037,8247,2233,West Pokot,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.16354392,1.492414256,"(1.492414256, 35.16354392)",471
473,WEST POKOT,Urban,Female,131.85%,120.62%,38.04%,6.75%,2.91%,0.85%,0.07%,0%,1871,6061,786,167,72,21,6,0,8984,1419,5025,2066,8510,2475,West Pokot,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.16354392,1.492414256,"(1.492414256, 35.16354392)",472
474,POKOT NORTH,Urban,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Pokot,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.10600361,2.039330692,"(2.039330692, 35.10600361)",473
475,POKOT NORTH,Urban,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Pokot,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.10600361,2.039330692,"(2.039330692, 35.10600361)",474
476,POKOT CENTRAL,Urban,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Pokot,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.49402215,1.491213025,"(1.491213025, 35.49402215)",475
477,POKOT CENTRAL,Urban,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Pokot,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.49402215,1.491213025,"(1.491213025, 35.49402215)",476
478,SAMBURU CENTRAL,Urban,Male,135.87%,121.25%,56.58%,8.41%,4.73%,1.26%,0%,0%,750,2311,499,80,45,12,0,0,3697,552,1906,882,3340,951,Samburu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.71442163,1.09166901,"(1.09166901, 36.71442163)",477
479,SAMBURU CENTRAL,Urban,Female,135.74%,115.43%,53.07%,6.94%,1.76%,0.53%,0.03%,0.06%,752,2296,493,79,20,6,1,2,3649,554,1989,929,3472,1139,Samburu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.71442163,1.09166901,"(1.09166901, 36.71442163)",478
480,SAMBURU EAST,Urban,Male,146.19%,106.47%,40.2%,4.31%,2.77%,2.62%,0.08%,0%,595,1480,240,28,18,17,2,0,2380,407,1390,597,2394,650,Samburu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.47389892,1.081019259,"(1.081019259, 37.47389892)",479
481,SAMBURU EAST,Urban,Female,133.48%,96.73%,34.92%,13.06%,1.39%,0.42%,0%,0%,594,1330,183,94,10,3,0,0,2214,445,1375,524,2344,720,Samburu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.47389892,1.081019259,"(1.081019259, 37.47389892)",480
482,SAMBURU NORTH,Urban,Male,157.96%,107.56%,35.51%,3.1%,2.48%,0.31%,0.52%,0%,496,1038,158,10,8,1,9,0,1720,314,965,445,1724,323,Samburu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.83086912,1.789437949,"(1.789437949, 36.83086912)",481
483,SAMBURU NORTH,Urban,Female,150%,96.44%,23.11%,2.12%,0.91%,0%,0.32%,0%,465,974,104,7,3,0,5,0,1558,310,1010,450,1770,330,Samburu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.83086912,1.789437949,"(1.789437949, 36.83086912)",482
484,TRANS NZOIA WEST,Urban,Male,107.92%,118.4%,70.88%,8%,7.16%,0.68%,0.12%,0.04%,4907,17018,4522,640,573,54,32,10,27756,4547,14373,6380,25300,7998,Trans Nzoia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.89426897,0.942674226,"(0.942674226, 34.89426897)",483
485,TRANS NZOIA WEST,Urban,Female,105.69%,117.09%,61.5%,9.87%,4.71%,0.38%,0.12%,0.13%,4641,17563,4349,928,443,36,34,35,28029,4391,14999,7071,26461,9398,Trans Nzoia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.89426897,0.942674226,"(0.942674226, 34.89426897)",484
486,TRANS NZOIA EAST,Urban,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trans Nzoia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.18029104,1.022635873,"(1.022635873, 35.18029104)",485
487,TRANS NZOIA EAST,Urban,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trans Nzoia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.18029104,1.022635873,"(1.022635873, 35.18029104)",486
488,KWANZA,Urban,Male,69.84%,122.49%,31.45%,2.34%,1.34%,0.78%,0.03%,0%,521,2794,262,21,12,7,1,0,3618,746,2281,833,3860,898,Trans Nzoia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.85810469,1.134996095,"(1.134996095, 34.85810469)",487
489,KWANZA,Urban,Female,76.03%,116.26%,30.11%,1.54%,0.19%,0.39%,0.03%,0%,533,2452,215,16,2,4,1,0,3223,701,2109,714,3524,1036,Trans Nzoia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.85810469,1.134996095,"(1.134996095, 34.85810469)",488
490,BARINGO,Urban,Male,118.67%,125.76%,92.54%,24.86%,10.31%,0.76%,0.07%,0.02%,1087,3930,1129,393,163,12,5,1,6720,916,3125,1220,5261,1581,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.97415916,0.448155493,"(0.448155493, 35.97415916)",489
491,BARINGO,Urban,Female,125.87%,126.13%,89.82%,44.66%,5.36%,0.78%,0.21%,0.02%,1051,3958,1456,916,110,16,16,1,7524,835,3138,1621,5594,2051,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.97415916,0.448155493,"(0.448155493, 35.97415916)",490
492,BARINGO NORTH,Urban,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.80555092,0.745856425,"(0.745856425, 35.80555092)",491
493,BARINGO NORTH,Urban,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.80555092,0.745856425,"(0.745856425, 35.80555092)",492
494,EAST POKOT,Urban,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.01860317,1.049001072,"(1.049001072, 36.01860317)",493
495,KOIBATEK,Urban,Male,135.83%,114.2%,63.42%,11.5%,8.32%,0.21%,0.03%,0.04%,1232,3644,735,163,118,3,2,2,5899,907,3191,1159,5257,1418,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.86953085,0.105862677,"(0.105862677, 35.86953085)",494
496,KOIBATEK,Urban,Female,130.68%,116.98%,54.76%,27.81%,3.53%,0.65%,0.05%,0%,1133,3802,765,473,60,11,3,0,6247,867,3250,1397,5514,1701,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.86953085,0.105862677,"(0.105862677, 35.86953085)",495
497,ELDORET WEST,Urban,Male,108.6%,113.07%,82.79%,15.38%,23.66%,0.76%,0.08%,0.01%,4383,14022,3902,1214,1868,60,20,3,25472,4036,12401,4713,21150,7895,Uasin Gishu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.19163187,0.711285558,"(0.711285558, 35.19163187)",496
498,ELDORET WEST,Urban,Female,111.68%,112.3%,72.32%,14.91%,17.06%,0.5%,0.21%,0.04%,4273,14491,3869,1568,1794,53,54,8,26110,3826,12904,5350,22080,10518,Uasin Gishu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.19163187,0.711285558,"(0.711285558, 35.19163187)",497
499,ELDORET EAST,Urban,Male,112.53%,114.77%,103.31%,19.96%,51.46%,1.57%,0.26%,0%,2120,7683,2780,1094,2820,86,44,0,16627,1884,6694,2691,11269,5480,Uasin Gishu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.41893944,0.563160828,"(0.563160828, 35.41893944)",498
500,ELDORET EAST,Urban,Female,107.76%,115.09%,87.03%,27.24%,33.12%,1.36%,0.2%,0.01%,2082,7862,3054,1699,2066,85,33,1,16882,1932,6831,3509,12272,6237,Uasin Gishu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.41893944,0.563160828,"(0.563160828, 35.41893944)",499
501,WARENG,Urban,Male,114.59%,117.58%,82.67%,24.57%,20.78%,2.33%,0.11%,0.06%,3857,12478,3548,1705,1442,162,26,11,23229,3366,10612,4292,18270,6940,Uasin Gishu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.33850049,0.299690606,"(0.299690606, 35.33850049)",500
502,WARENG,Urban,Female,117.74%,115.14%,71.13%,21.09%,16%,1.52%,0.27%,0.01%,3716,12725,3225,1819,1380,131,62,1,23059,3156,11052,4534,18742,8626,Uasin Gishu,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.33850049,0.299690606,"(0.299690606, 35.33850049)",501
503,MARAKWET,Urban,Male,84.78%,115.04%,73.94%,11.47%,6.98%,0%,0.07%,0%,195,872,210,46,28,0,1,0,1352,230,758,284,1272,401,Elgeyo Marakwet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.50699822,1.08405524,"(1.08405524, 35.50699822)",502
504,MARAKWET,Urban,Female,85.39%,120.39%,59.54%,13.74%,3.62%,0.54%,0%,0%,187,915,209,76,20,3,0,0,1410,219,760,351,1330,553,Elgeyo Marakwet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.50699822,1.08405524,"(1.08405524, 35.50699822)",503
505,KEIYO,Urban,Male,114.38%,137.31%,53.72%,8.35%,5.89%,1.61%,0.07%,0.01%,1511,6624,1184,197,139,38,7,1,9701,1321,4824,2204,8349,2359,Elgeyo Marakwet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.57039657,0.489045271,"(0.489045271, 35.57039657)",504
506,KEIYO,Urban,Female,106.08%,132.7%,62.94%,20.35%,4.99%,1.92%,0.15%,0%,1448,6615,1569,518,127,49,16,0,10342,1365,4985,2493,8843,2546,Elgeyo Marakwet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.57039657,0.489045271,"(0.489045271, 35.57039657)",505
507,NANDI NORTH,Urban,Male,155.67%,106.78%,118.25%,113.04%,10.14%,0%,0.11%,0%,151,315,149,234,21,0,1,0,871,97,295,126,518,207,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.06077368,0.438611778,"(0.438611778, 35.06077368)",506
508,NANDI NORTH,Urban,Female,134%,120.36%,56.77%,117.86%,6.63%,2.55%,0%,0%,134,402,88,231,13,5,0,0,873,100,334,155,589,196,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.06077368,0.438611778,"(0.438611778, 35.06077368)",507
509,NANDI CENTRAL,Urban,Male,126.73%,119.55%,51.41%,7.12%,17.82%,1.22%,0.02%,0.01%,3366,11264,1933,321,803,55,3,1,17746,2656,9422,3760,15838,4507,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.08490348,0.237462739,"(0.237462739, 35.08490348)",508
510,NANDI CENTRAL,Urban,Female,121.01%,117.69%,59.83%,10.74%,15.59%,0.77%,0.05%,0.06%,3128,10936,2586,573,832,41,9,9,18114,2585,9292,4322,16199,5337,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.08490348,0.237462739,"(0.237462739, 35.08490348)",509
511,NANDI EAST,Urban,Male,132.44%,118.7%,43.57%,7.64%,6.29%,0.67%,0%,0%,347,1111,149,34,28,3,0,0,1672,262,936,342,1540,445,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.23779105,0.105368029,"(0.105368029, 35.23779105)",510
512,NANDI EAST,Urban,Female,124.82%,120.38%,67.59%,8.62%,2.46%,0.68%,0.11%,0%,342,1152,292,63,18,5,2,0,1874,274,957,432,1663,731,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.23779105,0.105368029,"(0.105368029, 35.23779105)",511
513,NANDI SOUTH,Urban,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.96800793,0.048811478,"(0.048811478, 34.96800793)",512
514,NANDI SOUTH,Urban,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.96800793,0.048811478,"(0.048811478, 34.96800793)",513
515,TINDERET,Urban,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.3167413,-0.013491939,"(-0.013491939, 35.3167413)",514
516,TINDERET,Urban,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nandi,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.3167413,-0.013491939,"(-0.013491939, 35.3167413)",515
517,LAIKIPIA NORTH,Urban,Male,153.13%,115.65%,54.84%,1.22%,2.44%,0%,0%,0%,49,170,34,1,2,0,0,0,256,32,147,62,241,82,Laikipia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.99627658,0.515458301,"(0.515458301, 36.99627658)",516
518,LAIKIPIA NORTH,Urban,Female,80.85%,116.44%,45.76%,1.19%,1.19%,0%,0%,0%,38,170,27,1,1,0,0,0,237,47,146,59,252,84,Laikipia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.99627658,0.515458301,"(0.515458301, 36.99627658)",517
519,LAIKIPIA EAST,Urban,Male,123.11%,112.31%,85.09%,9.21%,7.25%,0.58%,0.08%,0.01%,1369,4480,1375,207,163,13,6,1,7614,1112,3989,1616,6717,2248,Laikipia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.95183375,0.093934415,"(0.093934415, 36.95183375)",518
520,LAIKIPIA EAST,Urban,Female,117.05%,112.32%,79.04%,11.98%,4.74%,0.66%,0.1%,0.01%,1311,4467,1459,326,129,18,8,1,7719,1120,3977,1846,6943,2721,Laikipia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.95183375,0.093934415,"(0.093934415, 36.95183375)",519
521,LAIKIPIA WEST,Urban,Male,134.26%,108.53%,80.73%,10.09%,8.03%,0.61%,0.1%,0%,1744,5141,1592,249,198,15,9,0,8948,1299,4737,1972,8008,2467,Laikipia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.5181069,0.39729996,"(0.39729996, 36.5181069)",520
522,LAIKIPIA WEST,Urban,Female,128.92%,106.93%,80.68%,17.03%,4.8%,0.32%,0.15%,0.01%,1712,5244,1754,525,148,10,14,1,9408,1328,4904,2174,8406,3082,Laikipia,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.5181069,0.39729996,"(0.39729996, 36.5181069)",521
523,NAKURU,Urban,Male,115.95%,112.09%,96.99%,15.37%,13.07%,0.51%,0.11%,0.05%,9812,30877,11030,2785,2369,92,64,25,57054,8462,27547,11372,47381,18122,Nakuru,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.03461164,-0.134672183,"(-0.134672183, 36.03461164)",522
524,NAKURU,Urban,Female,117.01%,110.25%,82.96%,18.19%,7.71%,0.45%,0.11%,0.04%,9417,30536,10649,4080,1730,101,64,19,56596,8048,27698,12837,48583,22435,Nakuru,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.03461164,-0.134672183,"(-0.134672183, 36.03461164)",523
525,NAKURU NORTH,Urban,Male,130.54%,112.75%,80.75%,12.49%,9.21%,1.21%,0.15%,0%,2620,8773,2521,404,298,39,22,0,14677,2007,7781,3122,12910,3235,Nakuru,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.16401596,-0.135028953,"(-0.135028953, 36.16401596)",524
526,NAKURU NORTH,Urban,Female,125.55%,109.74%,79.43%,10.94%,5.47%,0.63%,0.18%,0.01%,2570,8459,2517,432,216,25,25,1,14245,2047,7708,3169,12924,3949,Nakuru,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.16401596,-0.135028953,"(-0.135028953, 36.16401596)",525
527,NAIVASHA,Urban,Male,117.54%,113.21%,84.5%,27.52%,3.28%,1.58%,0.1%,0.01%,7332,23117,6558,4211,502,242,42,5,42009,6238,20419,7761,34418,15304,Nakuru,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.33344468,-0.727134387,"(-0.727134387, 36.33344468)",526
528,NAIVASHA,Urban,Female,116.53%,110.75%,67.58%,17.46%,2.66%,0.66%,0.08%,0.01%,7078,22672,5457,2503,381,95,32,4,38222,6074,20471,8075,34620,14339,Nakuru,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.33344468,-0.727134387,"(-0.727134387, 36.33344468)",527
529,MOLO,Urban,Male,121.93%,112.55%,65.35%,6.08%,7.03%,0.61%,0.08%,0%,4320,13109,2840,287,332,29,16,0,20933,3543,11647,4346,19536,4724,Nakuru,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.75756717,-0.409755795,"(-0.409755795, 35.75756717)",528
530,MOLO,Urban,Female,125.78%,111.25%,61.88%,5.63%,4.03%,0.59%,0.08%,0.01%,3976,13610,2695,306,219,32,16,1,20855,3161,12234,4355,19750,5435,Nakuru,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.75756717,-0.409755795,"(-0.409755795, 35.75756717)",529
531,NAROK NORTH,Urban,Male,112.92%,112.21%,87.99%,10.55%,9.99%,0.77%,0.31%,0%,1337,3998,1231,246,233,18,22,0,7085,1184,3563,1399,6146,2332,Narok,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.99464674,-0.959555087,"(-0.959555087, 35.99464674)",530
532,NAROK NORTH,Urban,Female,122.43%,114.09%,61.4%,12.89%,6.27%,0.7%,1.6%,0.01%,1403,4470,1112,368,179,20,123,1,7676,1146,3918,1811,6875,2855,Narok,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.99464674,-0.959555087,"(-0.959555087, 35.99464674)",531
533,NAROK SOUTH,Urban,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Narok,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.5807782,-1.402738483,"(-1.402738483, 35.5807782)",532
